Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered, Covaxin (Doses Administered),CoviShield (Doses Administered),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
03-06-2021,Andhra Pradesh,10341301,707433,1008,7786969,2554332,1904457,8436346,,,,7786969
04-06-2021,Andhra Pradesh,10708410,1020917,1696,8141170,2567240,1925318,8782234,,,,8141170
05-06-2021,Andhra Pradesh,10803822,684992,1329,8231348,2572474,1946325,8856083,,,,8231348
06-06-2021,Andhra Pradesh,10869971,270807,556,8293652,2576319,1962928,8905629,,,,8293652
07-06-2021,Andhra Pradesh,11013621,641643,1198,8429887,2583734,2027977,8983724,,,,8429887
08-06-2021,Andhra Pradesh,11059995,480348,969,8472406,2587589,2048032,9009451,,,,8472406
09-06-2021,Andhra Pradesh,11234803,536951,1112,8637923,2596880,2056250,9175289,,,,8637923
10-06-2021,Andhra Pradesh,11496440,810123,1567,8891341,2605099,2059722,9432881,,,,8891341
11-06-2021,Andhra Pradesh,11696369,569750,1251,9085932,2610437,2066460,9626017,,,,9085932
12-06-2021,Andhra Pradesh,11877129,665156,1397,9257127,2620002,2070695,9802056,,,,9257127
13-06-2021,Andhra Pradesh,11958631,261233,618,9335665,2622966,2106717,9847536,,,,9335665
14-06-2021,Andhra Pradesh,12319387,903521,1760,9683451,2635936,2182013,10132783,,,,9683451
15-06-2021,Andhra Pradesh,12406367,443493,1058,9765707,2640660,2202178,10199373,,,,9765707
16-06-2021,Andhra Pradesh,12439899,342464,679,9795862,2644037,2211640,10223252,,,,9795862
17-06-2021,Andhra Pradesh,12462701,306935,531,9817124,2645577,2217933,10239256,,,,9817124
18-06-2021,Andhra Pradesh,12487466,168316,300,9838546,2648920,2225556,10256380,,,,9838546
19-06-2021,Andhra Pradesh,12503233,43726,126,9850955,2652278,2233171,10264507,,,,9850955
20-06-2021,Andhra Pradesh,13940560,3368484,2266,11201229,2739331,2263984,11671021,,,,11201229
21-06-2021,Andhra Pradesh,14011163,392251,640,11265333,2745830,2272590,11732994,,,,11265333
22-06-2021,Andhra Pradesh,14058162,259304,357,11306134,2752028,2283021,11769342,,,,11306134
23-06-2021,Andhra Pradesh,14091954,139563,299,11331864,2760090,2295497,11790373,,,,11331864
24-06-2021,Andhra Pradesh,14404310,732718,1673,11586263,2818047,2329622,12068278,,,,11586263
25-06-2021,Andhra Pradesh,14525647,376668,1377,11681453,2844194,2348492,12170245,,,,
26-06-2021,Andhra Pradesh,14827546,735586,1595,11920947,2906599,2360798,12458694,,,,
27-06-2021,Andhra Pradesh,14868799,337110,501,11958632,2910167,2363290,12497455,,,,
28-06-2021,Andhra Pradesh,15094679,769684,1488,12120023,2974656,2372589,12713087,,,,
29-06-2021,Andhra Pradesh,15389049,943199,1797,12346836,3042213,2392509,12986450,,,,
30-06-2021,Andhra Pradesh,15703354,926496,1589,12587352,3116002,2511828,13179682,,,,
01-07-2021,Andhra Pradesh,15985323,878230,1585,12805075,3180248,2558873,13413668,,,,
02-07-2021,Andhra Pradesh,16331596,847681,1695,13098513,3233083,2597212,13721089,,,,
03-07-2021,Andhra Pradesh,16441282,465202,1259,13172868,3268414,2629715,13797338,,,,
04-07-2021,Andhra Pradesh,16459822,98984,393,13188358,3271464,2641650,13803886,,,,
05-07-2021,Andhra Pradesh,16582123,373069,983,13264570,3317553,2733739,13832995,,,,
06-07-2021,Andhra Pradesh,16633924,180845,653,13298596,3335328,2771300,13846543,,,,
07-07-2021,Andhra Pradesh,16676789,141426,521,13322285,3354504,2791299,13868759,,,,
08-07-2021,Andhra Pradesh,16715911,118165,479,13347419,3368492,2814587,13882291,,,,
09-07-2021,Andhra Pradesh,16752650,188109,608,13372990,3379660,2841589,13890216,,,,
10-07-2021,Andhra Pradesh,16945717,498064,1030,13472620,3473097,2859090,14064529,,,,
11-07-2021,Andhra Pradesh,17054306,621512,702,13530165,3524141,2862244,14169951,,,,
12-07-2021,Andhra Pradesh,17357400,852964,1523,13680228,3677172,2874587,14459530,,,,
13-07-2021,Andhra Pradesh,17589477,635034,1436,13817568,3771909,2882909,14682543,,,,
14-07-2021,Andhra Pradesh,18040090,866037,1464,14191112,3848978,2910973,15104391,,,,
15-07-2021,Andhra Pradesh,18130140,345553,955,14242409,3887731,2917718,15185783,,,,
16-07-2021,Andhra Pradesh,18391785,785070,1675,14395270,3996515,2922862,15440430,,,,
17-07-2021,Andhra Pradesh,18625728,652048,1606,14507747,4117981,2930765,15664487,,,,
18-07-2021,Andhra Pradesh,18649051,71058,254,14513706,4135345,2933756,15684647,,,,
19-07-2021,Andhra Pradesh,18797967,596081,1654,14559126,4238841,2950045,15816136,,,,
20-07-2021,Andhra Pradesh,19036238,754411,1858,14668281,4367957,2985593,16018000,,,,
21-07-2021,Andhra Pradesh,19154817,499616,1312,14739379,4415438,2995978,16125111,,,,
22-07-2021,Andhra Pradesh,19324817,668674,1745,14818721,4506096,3033199,16257222,,,,
23-07-2021,Andhra Pradesh,19473515,585678,1552,14871831,4601684,3090009,16348427,,,,
24-07-2021,Andhra Pradesh,19565589,510475,1459,14910329,4655260,3122068,16407455,,,,
25-07-2021,Andhra Pradesh,19570886,119233,216,14913421,4657465,3124806,16409878,,,,
26-07-2021,Andhra Pradesh,20753512,2380500,2228,15733829,5019683,3161871,17554815,,,,
27-07-2021,Andhra Pradesh,20928087,728604,1772,15829320,5098767,3176001,17714678,,,,
28-07-2021,Andhra Pradesh,21025625,0,0,15860970,5164655,3205469,17782235,,,,
29-07-2021,Andhra Pradesh,21173255,561479,1530,15906265,5266990,3237154,17897672,,,,
30-07-2021,Andhra Pradesh,21414613,724101,1859,15950840,5463773,3291266,18082827,,,,
31-07-2021,Andhra Pradesh,21669393,825352,2017,16096801,5572592,3340776,18286201,,,,
01-08-2021,Andhra Pradesh,21887210,196463,635,16301072,5586138,3383819,18460786,,,,
02-08-2021,Andhra Pradesh,22298933,1275589,2103,16567700,5731233,3435556,18819489,,,,
03-08-2021,Andhra Pradesh,22476139,829959,1963,16676151,5799988,3476686,18954688,,,,
04-08-2021,Andhra Pradesh,22650260,899161,2035,16786246,5864014,3556694,19048375,,,,
05-08-2021,Andhra Pradesh,22822334,908747,1983,16889200,5933134,3623768,19152235,,,,
06-08-2021,Andhra Pradesh,23390303,1598607,2214,17319552,6070751,3684179,19658229,,,,
07-08-2021,Andhra Pradesh,23617219,1048658,2052,17477123,6140096,3727191,19840682,,,,
08-08-2021,Andhra Pradesh,23699006,645542,1154,17531461,6167545,3747175,19902415,,,,
09-08-2021,Andhra Pradesh,23842895,926449,1732,17628583,6214312,3804590,19988469,,,,
10-08-2021,Andhra Pradesh,,,,,,,,,,,
11-08-2021,Andhra Pradesh,,,,,,,,,,,
12-08-2021,Andhra Pradesh,,,,,,,,,,,
13-08-2021,Andhra Pradesh,,,,,,,,,,,
14-08-2021,Andhra Pradesh,,,,,,,,,,,
15-08-2021,Andhra Pradesh,,,,,,,,,,,
16-01-2021,Arunachal Pradesh,81,10,9,81,0,0,81,,,,81
17-01-2021,Arunachal Pradesh,178,44,30,178,0,0,178,,,,178
18-01-2021,Arunachal Pradesh,560,74,50,560,0,0,560,,,,560
19-01-2021,Arunachal Pradesh,574,77,51,574,0,0,574,,,,574
20-01-2021,Arunachal Pradesh,601,127,76,601,0,0,601,,,,601
21-01-2021,Arunachal Pradesh,1154,175,104,1154,0,0,1154,,,,1154
22-01-2021,Arunachal Pradesh,1818,200,115,1818,0,0,1818,,,,1818
23-01-2021,Arunachal Pradesh,2446,208,120,2446,0,0,2446,,,,2446
24-01-2021,Arunachal Pradesh,2529,227,124,2529,0,0,2529,,,,2529
25-01-2021,Arunachal Pradesh,3442,235,130,3442,0,0,3442,,,,3442
26-01-2021,Arunachal Pradesh,3462,240,133,3462,0,0,3462,,,,3462
27-01-2021,Arunachal Pradesh,3998,269,144,3998,0,0,3998,,,,3998
28-01-2021,Arunachal Pradesh,5470,294,150,5470,0,0,5470,,,,5470
29-01-2021,Arunachal Pradesh,6106,301,150,6106,0,0,6106,,,,6106
30-01-2021,Arunachal Pradesh,6491,304,150,6491,0,0,6491,,,,6491
31-01-2021,Arunachal Pradesh,6525,315,151,6525,0,0,6525,,,,6525
01-02-2021,Arunachal Pradesh,6668,330,154,6668,0,0,6668,,,,6668
02-02-2021,Arunachal Pradesh,6668,359,165,6668,0,0,6668,,,,6668
03-02-2021,Arunachal Pradesh,6758,388,174,6758,0,0,6758,,,,6758
04-02-2021,Arunachal Pradesh,7785,423,178,7785,0,0,7785,,,,7785
05-02-2021,Arunachal Pradesh,8745,455,183,8745,0,0,8745,,,,8745
06-02-2021,Arunachal Pradesh,9288,466,183,9288,0,0,9288,,,,9288
07-02-2021,Arunachal Pradesh,9292,498,190,9292,0,0,9292,,,,9292
08-02-2021,Arunachal Pradesh,10438,510,192,10438,0,6,10432,,,,10438
09-02-2021,Arunachal Pradesh,10465,542,193,10465,0,28,10437,,,,10465
10-02-2021,Arunachal Pradesh,10529,575,196,10529,0,28,10501,,,,10529
11-02-2021,Arunachal Pradesh,11372,610,196,11372,0,28,11344,,,,11372
12-02-2021,Arunachal Pradesh,12173,652,196,12173,0,28,12145,,,,12173
13-02-2021,Arunachal Pradesh,13707,676,198,13251,456,28,13223,,,,13251
14-02-2021,Arunachal Pradesh,13730,720,198,13274,456,28,13246,,,,13274
15-02-2021,Arunachal Pradesh,17018,742,199,15434,1584,28,15406,,,,15434
16-02-2021,Arunachal Pradesh,17130,788,199,15546,1584,30,15516,,,,15546
17-02-2021,Arunachal Pradesh,17136,857,199,15552,1584,30,15522,,,,15552
18-02-2021,Arunachal Pradesh,20421,930,201,17389,3032,34,17355,,,,17389
19-02-2021,Arunachal Pradesh,23982,951,202,19872,4110,35,19837,,,,19872
20-02-2021,Arunachal Pradesh,24238,993,202,20018,4220,54,19964,,,,20018
21-02-2021,Arunachal Pradesh,24238,1044,202,20018,4220,54,19964,,,,20018
22-02-2021,Arunachal Pradesh,26904,1091,202,21550,5354,71,21479,,,,21550
23-02-2021,Arunachal Pradesh,28444,1130,204,22757,5687,73,22684,,,,22757
24-02-2021,Arunachal Pradesh,28468,1212,207,22781,5687,73,22708,,,,22781
25-02-2021,Arunachal Pradesh,31209,1265,207,24649,6560,73,24576,,,,24649
26-02-2021,Arunachal Pradesh,32865,1281,207,25903,6962,76,25827,,,,25903
27-02-2021,Arunachal Pradesh,32865,1281,207,25903,6962,76,25827,,,,25903
28-02-2021,Arunachal Pradesh,32865,1349,210,25903,6962,76,25827,,,,25903
01-03-2021,Arunachal Pradesh,32865,1431,208,25903,6962,76,25827,,,,25903
02-03-2021,Arunachal Pradesh,37490,1511,208,29841,7649,80,29761,,,,29841
03-03-2021,Arunachal Pradesh,37937,1667,209,30253,7684,86,30167,,,,30253
04-03-2021,Arunachal Pradesh,41398,1747,210,33136,8262,111,33025,,,,33136
05-03-2021,Arunachal Pradesh,44881,1871,212,35734,9147,116,35618,,,,35734
06-03-2021,Arunachal Pradesh,46901,1924,212,37249,9652,125,37124,,,,37249
07-03-2021,Arunachal Pradesh,46960,2081,213,37299,9661,128,37171,,,,37299
08-03-2021,Arunachal Pradesh,49950,2170,213,39451,10499,141,39310,,,,39451
09-03-2021,Arunachal Pradesh,41504,6500,48,30634,10870,0,41501,,,,41504
10-03-2021,Arunachal Pradesh,41675,100,1,30769,10906,0,41672,,,,41675
11-03-2021,Arunachal Pradesh,44509,9900,76,32947,11562,0,44506,,,,44509
12-03-2021,Arunachal Pradesh,46763,9700,81,34659,12104,0,46760,,,,46763
13-03-2021,Arunachal Pradesh,48143,5500,43,35595,12548,0,48140,,,,48143
14-03-2021,Arunachal Pradesh,48215,100,1,35654,12561,0,48212,,,,48215
15-03-2021,Arunachal Pradesh,51378,8950,71,38085,13293,0,51375,,,,51378
16-03-2021,Arunachal Pradesh,63404,6000,49,49653,13751,0,63404,,,,49653
17-03-2021,Arunachal Pradesh,63870,200,2,50078,13792,0,63870,,,,50078
18-03-2021,Arunachal Pradesh,67242,9700,80,52511,14731,0,67242,,,,52511
19-03-2021,Arunachal Pradesh,69729,7350,65,54173,15556,0,69729,,,,54173
20-03-2021,Arunachal Pradesh,71994,6450,59,55919,16075,0,71994,,,,55919
21-03-2021,Arunachal Pradesh,72176,0,0,56082,16094,0,72176,,,,56082
22-03-2021,Arunachal Pradesh,75417,9700,82,58541,16876,0,75417,,,,58541
23-03-2021,Arunachal Pradesh,77761,6550,54,60221,17540,0,77761,,,,60221
24-03-2021,Arunachal Pradesh,77826,0,0,60269,17557,0,77826,,,,60269
25-03-2021,Arunachal Pradesh,81124,9550,76,62868,18256,0,81124,,,,62868
26-03-2021,Arunachal Pradesh,84011,8950,80,64976,19035,0,84011,,,,64976
27-03-2021,Arunachal Pradesh,86161,6550,54,66980,19181,0,86161,,,,66980
28-03-2021,Arunachal Pradesh,86274,6610,39,67041,19233,0,86274,,,,67041
29-03-2021,Arunachal Pradesh,86714,5800,40,67464,19250,0,86714,,,,67464
30-03-2021,Arunachal Pradesh,88645,6150,48,68649,19996,0,88645,,,,68649
31-03-2021,Arunachal Pradesh,88794,6330,38,68791,20003,0,88794,,,,68791
01-04-2021,Arunachal Pradesh,94722,17200,115,73266,21456,0,94722,,,,73266
02-04-2021,Arunachal Pradesh,96882,4900,38,75047,21835,0,96882,,,,75047
03-04-2021,Arunachal Pradesh,100734,8000,63,78114,22620,0,100734,,,,78114
04-04-2021,Arunachal Pradesh,102608,8050,53,79783,22825,0,102608,,,,79783
05-04-2021,Arunachal Pradesh,106688,12600,100,82757,23931,0,106688,,,,82757
06-04-2021,Arunachal Pradesh,109164,9200,76,84581,24583,0,109164,,,,84581
07-04-2021,Arunachal Pradesh,113682,10500,80,88000,25682,0,113682,,,,88000
08-04-2021,Arunachal Pradesh,120397,14150,113,93106,27291,0,120397,,,,93106
09-04-2021,Arunachal Pradesh,126463,13350,112,97939,28524,0,126463,,,,97939
10-04-2021,Arunachal Pradesh,131302,11700,91,101756,29546,0,131302,,,,101756
11-04-2021,Arunachal Pradesh,134976,12450,96,104975,30001,0,134976,,,,104975
12-04-2021,Arunachal Pradesh,144137,18900,145,112551,31586,0,144137,,,,112551
13-04-2021,Arunachal Pradesh,151848,17370,116,118825,33023,0,151848,,,,118825
14-04-2021,Arunachal Pradesh,158012,15350,120,124312,33700,0,158012,,,,124312
15-04-2021,Arunachal Pradesh,161160,12050,93,126950,34210,0,161160,,,,126950
16-04-2021,Arunachal Pradesh,166632,13500,115,130812,35820,0,166632,,,,130812
17-04-2021,Arunachal Pradesh,170756,12300,96,133947,36809,0,170756,,,,133947
18-04-2021,Arunachal Pradesh,172614,8250,69,135342,37272,0,172614,,,,135342
19-04-2021,Arunachal Pradesh,180287,12950,105,140794,39493,0,180287,,,,140794
20-04-2021,Arunachal Pradesh,186002,10750,82,145098,40904,0,186002,,,,145098
21-04-2021,Arunachal Pradesh,190466,13050,105,148680,41786,0,190466,,,,148680
22-04-2021,Arunachal Pradesh,197443,15600,120,153966,43477,0,197443,,,,153966
23-04-2021,Arunachal Pradesh,204501,14300,115,159167,45334,0,204501,,,,159167
24-04-2021,Arunachal Pradesh,209180,11900,89,162665,46515,0,209180,,,,162665
25-04-2021,Arunachal Pradesh,210335,6100,43,163535,46800,0,210335,,,,163535
26-04-2021,Arunachal Pradesh,216717,12700,99,168174,48543,0,216717,,,,168174
27-04-2021,Arunachal Pradesh,222085,12200,89,172178,49907,0,222085,,,,172178
28-04-2021,Arunachal Pradesh,227853,12250,89,176888,50965,0,227853,,,,176888
29-04-2021,Arunachal Pradesh,234677,16200,123,182123,52554,0,234677,,,,182123
30-04-2021,Arunachal Pradesh,241423,14600,111,187103,54320,0,241423,,,,187103
01-05-2021,Arunachal Pradesh,245524,12750,96,189910,55614,0,245524,,,,189910
02-05-2021,Arunachal Pradesh,246580,6000,40,190514,56066,0,246580,,,,190514
03-05-2021,Arunachal Pradesh,252527,17550,126,193841,58686,0,252527,,,,193841
04-05-2021,Arunachal Pradesh,256929,14600,105,196476,60453,0,256929,,,,196476
05-05-2021,Arunachal Pradesh,261968,12950,93,199517,62451,0,261968,,,,199517
06-05-2021,Arunachal Pradesh,267741,18100,131,202965,64776,0,267741,,,,202965
07-05-2021,Arunachal Pradesh,273182,15550,114,205709,67473,0,273182,,,,205709
08-05-2021,Arunachal Pradesh,277640,14650,108,207746,69894,0,277640,,,,207746
09-05-2021,Arunachal Pradesh,278983,6800,47,208414,70569,0,278983,,,,208414
10-05-2021,Arunachal Pradesh,285021,17900,134,210862,74159,0,285021,,,,210862
11-05-2021,Arunachal Pradesh,288821,17450,120,212600,76221,0,288821,,,,212600
12-05-2021,Arunachal Pradesh,290786,15000,106,214210,76576,0,290786,,,,214210
13-05-2021,Arunachal Pradesh,293469,14800,109,216168,77301,0,293469,,,,216168
14-05-2021,Arunachal Pradesh,295034,12850,104,217389,77645,0,295034,,,,217389
15-05-2021,Arunachal Pradesh,296640,12950,98,218759,77881,0,296640,,,,218759
16-05-2021,Arunachal Pradesh,297055,7700,40,219171,77884,0,297055,,,,219171
17-05-2021,Arunachal Pradesh,302578,19953,100,224664,77914,0,302578,,,,224664
18-05-2021,Arunachal Pradesh,308245,19065,95,230286,77959,0,308245,,,,230286
19-05-2021,Arunachal Pradesh,313429,16890,84,235462,77967,0,313429,,,,235462
20-05-2021,Arunachal Pradesh,318150,18170,101,240168,77982,0,318150,,,,240168
21-05-2021,Arunachal Pradesh,321367,15272,88,243375,77992,0,321367,,,,243375
22-05-2021,Arunachal Pradesh,323227,16132,88,245155,78072,0,323227,,,,245155
23-05-2021,Arunachal Pradesh,324050,10020,50,245978,78072,0,324050,,,,245978
24-05-2021,Arunachal Pradesh,327082,17302,100,248988,78094,0,327082,,,,248988
25-05-2021,Arunachal Pradesh,328603,18342,88,250439,78164,0,328603,,,,250439
26-05-2021,Arunachal Pradesh,329432,15210,78,251257,78175,0,329432,,,,251257
27-05-2021,Arunachal Pradesh,330440,14210,84,252251,78189,0,330440,,,,252251
28-05-2021,Arunachal Pradesh,331507,12080,80,253299,78208,0,331507,,,,253299
29-05-2021,Arunachal Pradesh,332717,11342,74,254447,78270,0,332717,,,,254447
30-05-2021,Arunachal Pradesh,333067,5780,34,254795,78272,0,333067,,,,254795
31-05-2021,Arunachal Pradesh,334007,11630,77,255678,78329,0,334007,,,,255678
01-06-2021,Arunachal Pradesh,336634,12350,59,258237,78397,0,336634,,,,258237
02-06-2021,Arunachal Pradesh,343311,16790,78,264847,78464,0,343311,,,,264847
03-06-2021,Arunachal Pradesh,351449,19873,89,272908,78541,0,351449,,,,272908
04-06-2021,Arunachal Pradesh,362909,22909,105,284334,78575,0,362909,,,,284334
05-06-2021,Arunachal Pradesh,372776,20307,96,294176,78600,0,372776,,,,294176
06-06-2021,Arunachal Pradesh,376761,11068,62,298148,78613,0,376761,,,,298148
07-06-2021,Arunachal Pradesh,384701,21473,118,306022,78679,0,384701,,,,306022
08-06-2021,Arunachal Pradesh,390012,16884,94,311287,78725,0,390012,,,,311287
09-06-2021,Arunachal Pradesh,395757,20362,128,316960,78797,0,395757,,,,316960
10-06-2021,Arunachal Pradesh,400648,16899,110,321736,78912,0,400648,,,,321736
11-06-2021,Arunachal Pradesh,405483,18544,123,326492,78991,0,405483,,,,326492
12-06-2021,Arunachal Pradesh,410393,18383,122,331364,79029,0,410393,,,,331364
13-06-2021,Arunachal Pradesh,414648,13185,76,335606,79042,0,414648,,,,335606
14-06-2021,Arunachal Pradesh,420935,20207,114,341823,79112,0,420935,,,,341823
15-06-2021,Arunachal Pradesh,426293,16771,100,347059,79234,0,426293,,,,347059
16-06-2021,Arunachal Pradesh,438804,28905,109,359462,79342,0,438804,,,,359462
17-06-2021,Arunachal Pradesh,453458,44517,111,374023,79435,0,453458,,,,374023
18-06-2021,Arunachal Pradesh,468875,54115,120,389369,79506,0,468875,,,,389369
19-06-2021,Arunachal Pradesh,478167,19381,100,398545,79622,0,478167,,,,398545
20-06-2021,Arunachal Pradesh,480320,7300,41,400684,79636,0,480320,,,,400684
21-06-2021,Arunachal Pradesh,494030,33087,145,414267,79763,0,494030,,,,414267
22-06-2021,Arunachal Pradesh,505027,28132,117,425013,80014,0,505027,,,,425013
23-06-2021,Arunachal Pradesh,517112,29131,120,436991,80121,0,517112,,,,436991
24-06-2021,Arunachal Pradesh,529176,29352,118,448592,80584,0,529176,,,,448592
25-06-2021,Arunachal Pradesh,540634,29024,112,459890,80744,0,540634,,,,
26-06-2021,Arunachal Pradesh,551507,27027,122,470168,81339,0,551507,,,,
27-06-2021,Arunachal Pradesh,557701,17322,67,475866,81835,0,557701,,,,
28-06-2021,Arunachal Pradesh,573002,36131,146,490029,82973,0,573002,,,,
29-06-2021,Arunachal Pradesh,580543,26906,109,496811,83732,0,580543,,,,
30-06-2021,Arunachal Pradesh,593355,53673,156,508826,84529,0,593355,,,,
01-07-2021,Arunachal Pradesh,604172,33984,126,518465,85707,0,604172,,,,
02-07-2021,Arunachal Pradesh,614505,34676,142,527034,87471,0,614505,,,,
03-07-2021,Arunachal Pradesh,623711,33756,126,534250,89461,0,623711,,,,
04-07-2021,Arunachal Pradesh,629024,18772,81,538776,90248,0,629024,,,,
05-07-2021,Arunachal Pradesh,643509,39302,154,549526,93983,0,643509,,,,
06-07-2021,Arunachal Pradesh,654032,33260,136,556622,97410,0,654032,,,,
07-07-2021,Arunachal Pradesh,667128,37694,136,565823,101305,0,667128,,,,
08-07-2021,Arunachal Pradesh,679561,36850,144,574598,104963,0,679561,,,,
09-07-2021,Arunachal Pradesh,691414,41156,154,583021,108393,0,691414,,,,
10-07-2021,Arunachal Pradesh,701667,34786,135,590002,111665,0,701667,,,,
11-07-2021,Arunachal Pradesh,706004,17039,65,593330,112674,0,706004,,,,
12-07-2021,Arunachal Pradesh,717072,35623,147,600139,116933,0,717072,,,,
13-07-2021,Arunachal Pradesh,726070,31855,130,605243,120827,0,726070,,,,
14-07-2021,Arunachal Pradesh,736247,29642,123,611763,124484,0,736247,,,,
15-07-2021,Arunachal Pradesh,746764,34368,144,617766,128998,0,746764,,,,
16-07-2021,Arunachal Pradesh,756314,29389,131,623036,133278,0,756314,,,,
17-07-2021,Arunachal Pradesh,763807,25880,120,627353,136454,0,763807,,,,
18-07-2021,Arunachal Pradesh,767031,13797,60,629663,137368,0,767031,,,,
19-07-2021,Arunachal Pradesh,776986,30558,140,635185,141801,0,776986,,,,
20-07-2021,Arunachal Pradesh,783786,26911,114,638759,145027,0,783786,,,,
21-07-2021,Arunachal Pradesh,791295,30595,123,642710,148585,0,791295,,,,
22-07-2021,Arunachal Pradesh,798628,30225,127,646129,152499,0,798628,,,,
23-07-2021,Arunachal Pradesh,806642,32816,133,649997,156645,0,806642,,,,
24-07-2021,Arunachal Pradesh,812464,30795,115,653324,159140,0,812464,,,,
25-07-2021,Arunachal Pradesh,815005,16546,53,655107,159898,0,815005,,,,
26-07-2021,Arunachal Pradesh,822087,32141,129,658962,163125,0,822087,,,,
27-07-2021,Arunachal Pradesh,826787,25074,103,661530,165257,0,826787,,,,
28-07-2021,Arunachal Pradesh,832256,0,0,664317,167939,0,832256,,,,
29-07-2021,Arunachal Pradesh,836809,27735,115,666557,170252,0,836809,,,,
30-07-2021,Arunachal Pradesh,841615,27723,126,668946,172669,0,841615,,,,
31-07-2021,Arunachal Pradesh,845600,23695,101,671065,174535,0,845600,,,,
01-08-2021,Arunachal Pradesh,847486,12992,59,672680,174806,0,847486,,,,
02-08-2021,Arunachal Pradesh,852548,28684,134,675931,176617,0,852548,,,,
03-08-2021,Arunachal Pradesh,856238,24295,104,678265,177973,0,856238,,,,
04-08-2021,Arunachal Pradesh,860312,26061,113,680809,179503,0,860312,,,,
05-08-2021,Arunachal Pradesh,864439,29537,128,683244,181195,0,864439,,,,
06-08-2021,Arunachal Pradesh,868369,26056,103,685986,182383,0,868369,,,,
07-08-2021,Arunachal Pradesh,871407,23308,96,688023,183384,0,871407,,,,
08-08-2021,Arunachal Pradesh,872897,11189,48,689266,183631,0,872897,,,,
09-08-2021,Arunachal Pradesh,879094,31506,129,692475,186619,0,879094,,,,
10-08-2021,Arunachal Pradesh,,,,,,,,,,,
11-08-2021,Arunachal Pradesh,,,,,,,,,,,
12-08-2021,Arunachal Pradesh,,,,,,,,,,,
13-08-2021,Arunachal Pradesh,,,,,,,,,,,
14-08-2021,Arunachal Pradesh,,,,,,,,,,,
15-08-2021,Arunachal Pradesh,,,,,,,,,,,
16-01-2021,Assam,401,79,64,401,0,36,365,,,,401
17-01-2021,Assam,466,119,68,466,0,42,424,,,,466
18-01-2021,Assam,722,290,74,722,0,63,659,,,,722
19-01-2021,Assam,1254,333,78,1254,0,110,1144,,,,1254
20-01-2021,Assam,1254,408,98,1254,0,110,1144,,,,1254
21-01-2021,Assam,2163,493,120,2163,0,175,1988,,,,2163
22-01-2021,Assam,3947,523,132,3947,0,234,3713,,,,3947
23-01-2021,Assam,4061,586,164,4061,0,247,3814,,,,4061
24-01-2021,Assam,4416,647,191,4416,0,256,4160,,,,4416
25-01-2021,Assam,10886,675,207,10886,0,693,10193,,,,10886
26-01-2021,Assam,11021,750,236,11021,0,734,10287,,,,11021
27-01-2021,Assam,12407,863,277,12407,0,810,11597,,,,12407
28-01-2021,Assam,21430,1001,317,21430,0,1478,19952,,,,21430
29-01-2021,Assam,29322,1034,327,29322,0,2206,27116,,,,29322
30-01-2021,Assam,30573,1066,343,30573,0,2295,28278,,,,30573
31-01-2021,Assam,30688,1112,364,30688,0,2295,28393,,,,30688
01-02-2021,Assam,32329,1240,417,32329,0,2392,29937,,,,32329
02-02-2021,Assam,34848,1425,500,34848,0,2778,32070,,,,34848
03-02-2021,Assam,36100,1717,604,36100,0,2966,33134,,,,36100
04-02-2021,Assam,52645,1955,656,52645,0,4420,48225,,,,52645
05-02-2021,Assam,68628,2136,715,68628,0,5631,62997,,,,68628
06-02-2021,Assam,78498,2249,726,78498,0,6707,71791,,,,78498
07-02-2021,Assam,80284,2401,743,80284,0,6845,73439,,,,80284
08-02-2021,Assam,91026,2637,757,91026,0,7630,83396,,,,91026
09-02-2021,Assam,100295,2779,773,100295,0,8370,91925,,,,100295
10-02-2021,Assam,103044,2917,781,103044,0,8399,94645,,,,103044
11-02-2021,Assam,109906,3068,791,109906,0,8731,101175,,,,109906
12-02-2021,Assam,117506,3189,791,117506,0,9012,108494,,,,117506
13-02-2021,Assam,124056,3216,792,122050,2006,9367,112683,,,,122050
14-02-2021,Assam,124177,3319,795,122161,2016,9367,112794,,,,122161
15-02-2021,Assam,128424,3497,797,124764,3660,9542,115222,,,,124764
16-02-2021,Assam,132946,3587,797,127777,5169,9691,118086,,,,127777
17-02-2021,Assam,134325,3818,818,128941,5384,9770,119171,,,,128941
18-02-2021,Assam,142950,4055,841,135328,7622,10319,125009,,,,135328
19-02-2021,Assam,156552,4254,850,146695,9857,10988,135707,,,,146695
20-02-2021,Assam,163919,4402,867,153329,10590,11769,141560,,,,153329
21-02-2021,Assam,165621,4620,889,155028,10593,11955,143073,,,,155028
22-02-2021,Assam,178910,4964,912,165031,13879,14129,150902,,,,165031
23-02-2021,Assam,190166,5172,929,174988,15178,16954,158034,,,,174988
24-02-2021,Assam,195245,5659,967,179344,15901,18978,160366,,,,179344
25-02-2021,Assam,210946,5937,985,189178,21768,21808,167370,,,,189178
26-02-2021,Assam,223134,6027,990,195376,27758,24400,170976,,,,195376
27-02-2021,Assam,223134,6027,990,195376,27758,24400,170976,,,,195376
28-02-2021,Assam,223134,6104,991,195376,27758,24400,170976,,,,195376
01-03-2021,Assam,223134,6861,1025,195376,27758,24400,170976,,,,195376
